2019-12-12 21:17:06.048466 - Python Partest Version 0.5
Setting up test: runsperthread=50 threads=1 totalruns=50 payload=[{'name': 'Bob'} {'name': 'Joe'} {'name': 'Steve'}]

Raw results of each run:
containerID,contextSwitches,contextSwitchesDelta,cpuCores,cpuIdle,cpuIdleDelta,cpuIowait,cpuIowaitDelta,cpuIrq,cpuIrqDelta,cpuKrn,cpuKrnDelta,cpuModel,cpuNice,cpuNiceDelta,cpuSoftIrq,cpuSoftIrqDelta,cpuType,cpuUsr,cpuUsrDelta,frameworkRuntime,freeMemory,functionMemory,functionName,functionRegion,majorPageFaults,majorPageFaultsDelta,newcontainer,pageFaults,pageFaultsDelta,runtime,totalMemory,userRuntime,uuid,vmID,vmcpusteal,vmcpustealDelta,vmuptime
2019/12/12/[$LATEST]ba0763c7d19e40c38217c37785fec6b5,24811,0,2,361677,0,8,0,0,0,122,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,406,0,5,404640,512,tutorial9,us-east-1,691,0,0,74145,0,6,633804,0,9c336ea7-2e72-4845-bca9-eaaea3d591b2,5BaqaE,100,1,1576183247
2019/12/12/[$LATEST]ba0763c7d19e40c38217c37785fec6b5,21750,1623,2,358229,3103,8,0,0,0,112,8,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,340,28,12,409780,512,tutorial9,us-east-1,688,3,0,72513,420,15746,633804,15733,9c336ea7-2e72-4845-bca9-eaaea3d591b2,5BaqaE,71,18,1576183247
2019/12/12/[$LATEST]812e2aa9aec64af0b75436a6ab3d09c7,24766,2,2,271623,0,9,0,0,0,120,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,392,0,4,404336,512,tutorial9,us-east-1,685,0,0,74456,0,4,633804,0,73aad9bd-ce4d-4405-ab6c-27d5012ddc73,V3MMI0,78,0,1576183706
2019/12/12/[$LATEST]a93869d0cfce4d6f8907ec48e9eef4fc,14082,1465,2,365657,2621,8,0,0,0,67,15,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,89,23,202,472396,512,tutorial9,us-east-1,645,0,1,60772,1493,13548,633804,13345,d0a5bb95-9b35-4bb2-9253-0b3acda23061,yVBXpQ,64,24,1576183089
2019/12/12/[$LATEST]a93869d0cfce4d6f8907ec48e9eef4fc,26198,780,2,413808,2397,12,0,0,0,145,0,62,0,0,4,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,374,1,14,410416,512,tutorial9,us-east-1,689,0,0,72643,0,12017,633804,12001,d0a5bb95-9b35-4bb2-9253-0b3acda23061,yVBXpQ,273,9,1576183089
2019/12/12/[$LATEST]ba0763c7d19e40c38217c37785fec6b5,23816,0,2,361452,0,8,0,0,0,120,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,383,0,19,405704,512,tutorial9,us-east-1,691,0,0,73306,0,20,633804,0,9c336ea7-2e72-4845-bca9-eaaea3d591b2,5BaqaE,92,0,1576183247
2019/12/12/[$LATEST]fcc7d3f39bfa436d8a3ca069a08c5856,20991,0,2,318135,0,10,0,0,0,122,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,309,0,17,414268,512,tutorial9,us-east-1,681,0,0,70343,0,18,633804,0,2dc8ab96-0e86-41b0-b5f7-ee5d5e71057d,mBp05T,173,0,1576183452
2019/12/12/[$LATEST]144dbb1e9eb44273ab5c23465f21fd41,26907,2,2,524874,0,12,0,0,0,141,0,62,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,367,0,4,412456,512,tutorial9,us-east-1,684,0,0,71615,0,5,633804,0,e7900f82-3990-43ee-8e05-db22673e71c7,g8Ujcw,128,0,1576182424
2019/12/12/[$LATEST]812e2aa9aec64af0b75436a6ab3d09c7,24197,2,2,271478,0,9,0,0,0,119,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,378,0,23,404652,512,tutorial9,us-east-1,685,0,0,74021,0,23,633804,0,73aad9bd-ce4d-4405-ab6c-27d5012ddc73,V3MMI0,76,0,1576183706
2019/12/12/[$LATEST]ba0763c7d19e40c38217c37785fec6b5,23621,5,2,361389,0,8,0,0,0,120,0,62,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,374,0,74,406084,512,tutorial9,us-east-1,691,0,0,73086,3,75,633804,0,9c336ea7-2e72-4845-bca9-eaaea3d591b2,5BaqaE,89,0,1576183247
